latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6.80317434,2.85245309,18.8226,0.8073,"POLYGON((2.85247698006505 6.80315999345155, 2.85246344432522 6.80320018860823, 2.85242918407993 6.80318866166926, 2.85244271982224 6.80314846651359, 2.85247698006505 6.80315999345155))",6FR4RV32+7X8V
6.80346492,2.88229145,179.7807,0.9164,"POLYGON((2.88238005407066 6.80345912775862, 2.88226403520707 6.80354934602247, 2.88220283860949 6.80347071821314, 2.88231885746512 6.80338049996354, 2.88238005407066 6.80345912775862))",6FR4RV3J+9WMF
6.80309567,2.85406435,41.0614,0.7690,"POLYGON((2.85409385221281 6.80306002510699, 2.85407376613398 6.80314095551059, 2.85403483636762 6.80313130210223, 2.85405492245253 6.80305037170038, 2.85409385221281 6.80306002510699))",6FR4RV33+6JPR
6.79980709,2.85408129,16.8659,0.6525,"POLYGON((2.85409963395688 6.7997880095667, 2.85409638612174 6.79982881250197, 2.8540629303214 6.79982615180412, 2.85406617815924 6.79978534886915, 2.85409963395688 6.7997880095667))",6FR4QVX3+WJG8
6.80164621,2.85178914,27.8881,0.7987,"POLYGON((2.85181290044173 6.8016223165463, 2.85181288579138 6.80167012532643, 2.85176537335071 6.80167011077722, 2.85176538800611 6.80162230199694, 2.85181290044173 6.8016223165463))",6FR4RV22+MP3V
6.80174231,2.85228952,88.3075,0.6514,"POLYGON((2.85230146266475 6.80168371100587, 2.85230059186409 6.80171536515601, 2.85233127182958 6.8017162084133, 2.85232918481138 6.8017920730365, 2.8522533055424 6.80178998744523, 2.85225626337543 6.80168246867272, 2.85230146266475 6.80168371100587))",6FR4RV22+MWVM
6.79932407,2.85473508,155.6940,0.8069,"POLYGON((2.8548113132018 6.79929973698223, 2.85474873937251 6.7994028915683, 2.8546588510084 6.79934841245774, 2.85472142484927 6.79924525788331, 2.8548113132018 6.79929973698223))",6FR4QVX3+PVHW
6.83585041,2.84988812,20.4755,0.7359,"POLYGON((2.84991709153579 6.83583649852779, 2.84991644160356 6.83586559622321, 2.84985915064008 6.83586431786705, 2.84985980057564 6.83583522017179, 2.84991709153579 6.83583649852779))",6FR4RRPX+8XR3
6.83550018,2.90966074,42.3469,0.6774,"POLYGON((2.90967007671719 6.83545734325826, 2.90969505635557 6.83552749348823, 2.90965141251437 6.83554301863754, 2.90962643288165 6.83547286840544, 2.90967007671719 6.83545734325826))",6FR4RWP5+6V32
6.80227733,2.85842811,21.6445,0.6606,"POLYGON((2.85843089776885 6.80225622888639, 2.85847013430207 6.80229700119727, 2.85840134591276 6.80229063734847, 2.85840475590774 6.8022538104126, 2.85843089776885 6.80225622888639))",6FR4RV25+W974
